,rt,response,axes,cogr,condition,subj_idx,angle
138,1668.0699999998324,0,1.0,0.0,I1,0,20
139,2236.2099999990314,1,1.0,1.0,C1,0,20
140,1666.6799999985376,1,1.0,1.0,C1,0,20
141,1291.3349999980999,1,1.0,0.0,I1,0,20
142,1356.0399999988726,1,1.0,1.0,C1,0,20
143,1304.5449999989944,1,1.0,0.0,I1,0,20
144,1560.9650000007825,1,1.0,0.0,I1,0,20
145,1511.4350000005215,0,1.0,1.0,C1,0,20
146,1395.7700000028126,1,2.0,1.0,C2,0,20
147,1478.7849999992175,1,1.0,1.0,C1,0,20
148,2156.9800000034743,1,1.0,0.0,I1,0,20
149,2124.480000002077,1,2.0,1.0,C2,0,20
150,2972.024999998975,0,2.0,0.0,I2,0,20
151,1091.9149999972433,1,1.0,1.0,C1,0,20
152,1913.6450000004845,1,1.0,1.0,C1,0,20
153,2313.715000000317,1,1.0,0.0,I1,0,20
154,1676.5099999974482,0,1.0,0.0,I1,0,20
155,1186.1749999988824,1,2.0,0.0,I2,0,20
156,2404.1599999982864,1,2.0,0.0,I2,0,20
157,1394.464999997523,1,1.0,1.0,C1,0,20
158,1343.7099999974014,1,1.0,0.0,I1,0,20
159,891.2999999993483,1,2.0,1.0,C2,0,20
160,1424.1550000004934,1,1.0,1.0,C1,0,20
161,1046.3799999996554,1,1.0,0.0,I1,0,20
162,2149.505000001285,1,2.0,0.0,I2,0,20
163,2082.7549999994226,1,2.0,1.0,C2,0,20
164,1890.2149999993853,0,2.0,1.0,C2,0,20
165,1677.3199999986682,0,1.0,1.0,C1,0,20
166,1206.5299999993294,1,1.0,0.0,I1,0,20
167,1573.3399999991525,1,2.0,1.0,C2,0,20
168,1210.6400000012945,0,2.0,0.0,I2,0,20
169,1827.2300000025425,1,2.0,0.0,I2,0,20
170,1021.6299999991896,1,2.0,1.0,C2,0,20
171,1921.260000002804,1,2.0,1.0,C2,0,20
172,1528.2650000008289,1,2.0,0.0,I2,0,20
173,1145.165000001667,1,2.0,1.0,C2,0,20
174,972.6450000016484,1,1.0,1.0,C1,0,20
175,909.5850000011267,1,2.0,1.0,C2,0,20
176,1753.285000002477,1,1.0,0.0,I1,0,20
177,1266.6749999988824,1,2.0,0.0,I2,0,20
178,2259.239999999525,0,1.0,0.0,I1,0,20
179,2184.4600000004284,0,1.0,0.0,I1,0,20
180,1256.4600000006612,1,2.0,0.0,I2,0,20
181,1425.5150000026917,1,1.0,0.0,I1,0,20
182,806.1349999990781,1,2.0,1.0,C2,0,20
183,1334.1550000004934,1,1.0,1.0,C1,0,20
184,1425.5849999971688,1,1.0,0.0,I1,0,20
185,2175.5950000004377,0,2.0,0.0,I2,0,20
186,2310.994999999879,1,1.0,1.0,C1,0,20
187,1852.1000000000927,1,2.0,0.0,I2,0,20
188,1606.1149999988265,1,2.0,1.0,C2,0,20
189,927.7550000005867,1,2.0,0.0,I2,0,20
190,1041.1400000010615,1,1.0,1.0,C1,0,20
191,1590.2850000020114,0,2.0,0.0,I2,0,20
192,2016.5850000011274,1,2.0,1.0,C2,0,20
193,1075.4649999979883,1,1.0,0.0,I1,0,20
